City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
101,Broken Hill,AU,2023-01-24 22:54:35,-31.95,141.4333,80.67,31,0,14.14
102,Ruwi,OM,2023-01-24 22:54:35,23.5996,58.5507,64.72,60,33,6.58
103,Naples,IT,2023-01-24 22:54:36,40.8333,14.25,50.05,75,0,6.91
104,Mmathubudukwane,BW,2023-01-24 22:54:36,-24.6,26.4333,71.87,32,0,1.7
105,Sioux Lookout,CA,2023-01-24 22:50:45,50.1001,-91.917,12.27,79,100,4.61
106,Kapaa,US,2023-01-24 22:54:36,22.0752,-159.319,81.12,69,6,4.0
107,Ilhabela,BR,2023-01-24 22:54:37,-23.7781,-45.3581,75.94,88,19,2.8
108,Chokurdakh,RU,2023-01-24 22:54:37,70.6333,147.9167,-24.36,96,100,2.55
109,Ponta Do Sol,PT,2023-01-24 22:54:37,32.6667,-17.1,61.43,53,21,9.26
110,Dikson,RU,2023-01-24 22:54:38,73.5069,80.5464,-2.58,93,100,29.97
111,Jerico,CO,2023-01-24 22:54:38,5.7921,-75.786,61.57,82,94,2.51
112,Freistadt,AT,2023-01-24 22:54:38,48.511,14.5045,32.49,96,96,4.97
113,Roald,NO,2023-01-24 22:54:39,62.5833,6.1333,52.72,87,75,28.77
114,Bayonet Point,US,2023-01-24 22:54:39,28.3267,-82.6834,74.98,66,90,11.54
115,Udachnyy,RU,2023-01-24 22:54:40,66.4167,112.4,-39.95,100,40,1.57
116,Oktyabrskiy,RU,2023-01-24 22:54:40,54.4815,53.471,0.27,98,97,5.93
117,Tiksi,RU,2023-01-24 22:54:40,71.6872,128.8694,-28.98,100,96,4.59
118,Viedma,AR,2023-01-24 22:54:41,-40.8135,-62.9967,71.74,17,11,6.51
119,Victoria,HK,2023-01-24 22:54:41,22.2855,114.1577,52.25,56,100,15.99
120,Fairbanks,US,2023-01-24 22:50:00,64.8378,-147.7164,0.61,81,100,0.0
121,Srednekolymsk,RU,2023-01-24 22:54:41,67.45,153.6833,-25.78,95,100,1.07
122,Bar Harbor,US,2023-01-24 22:54:42,44.3876,-68.2039,36.01,81,100,10.0
123,Kodiak,US,2023-01-24 22:54:42,57.79,-152.4072,38.71,100,100,0.0
124,Burgeo,CA,2023-01-24 22:54:42,47.6167,-57.6152,31.57,79,91,25.17
125,Manono,CD,2023-01-24 22:54:43,-7.3,27.4167,68.18,97,100,1.19
126,Kargat,RU,2023-01-24 22:54:43,55.1956,80.2811,5.95,97,100,6.22
127,Cidreira,BR,2023-01-24 22:54:43,-30.1811,-50.2056,76.55,80,20,12.71
128,Presidencia Roque Saenz Pena,AR,2023-01-24 22:52:46,-26.7852,-60.4388,93.92,27,1,5.82
129,Grindavik,IS,2023-01-24 22:54:45,63.8424,-22.4338,37.35,93,75,28.77
130,Narsaq,GL,2023-01-24 22:54:45,60.9167,-46.05,21.96,84,98,11.74
131,Hofn,IS,2023-01-24 22:54:46,64.2539,-15.2082,39.34,70,100,6.6
132,Nyurba,RU,2023-01-24 22:54:46,63.2842,118.3319,-47.18,100,100,3.89
133,Gaomi,CN,2023-01-24 22:54:46,36.3833,119.7528,10.69,19,2,5.88
134,Cape Town,ZA,2023-01-24 22:53:58,-33.9258,18.4232,62.1,60,0,9.22
135,Cherskiy,RU,2023-01-24 22:54:47,68.75,161.3,-25.49,97,100,1.97
136,Virden,US,2023-01-24 22:54:47,39.5009,-89.7679,42.71,72,100,3.96
137,Awbari,LY,2023-01-24 22:54:47,26.5921,12.7805,54.77,24,3,5.77
138,Souillac,MU,2023-01-24 22:54:48,-20.5167,57.5167,73.78,94,75,3.44
139,Waipawa,NZ,2023-01-24 22:54:48,-41.4122,175.5153,66.29,61,7,9.15
140,Constantine,DZ,2023-01-24 22:54:48,36.365,6.6147,40.41,81,75,16.11
141,Mwinilunga,ZM,2023-01-24 22:55:49,-11.7358,24.4293,63.12,87,100,4.27
142,Tiarei,PF,2023-01-24 22:55:49,-17.5333,-149.3333,86.02,81,100,15.97
143,Manakara,MG,2023-01-24 22:55:50,-22.1333,48.0167,73.56,97,100,4.47
144,Quatre Cocos,MU,2023-01-24 22:55:51,-20.2078,57.7625,73.51,92,100,7.34
145,Bintulu,MY,2023-01-24 22:55:51,3.1667,113.0333,75.61,100,40,0.0
